Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Colmos
1;1;301;AGUA BRANCA;1;IAC87 3396;B1;1;08/10/2021;1;140
1;1;301;AGUA BRANCA;1;IAC96 7569;B1;2;08/10/2021;1;131
1;1;301;AGUA BRANCA;1;IAC94 2094;B1;3;08/10/2021;1;127
1;1;301;AGUA BRANCA;1;IAC91 1099;B1;4;08/10/2021;1;171
1;1;301;AGUA BRANCA;1;IAC91 1099;B2;5;08/10/2021;1;82
1;1;301;AGUA BRANCA;1;IAC87 3396;B2;6;08/10/2021;1;102
1;1;301;AGUA BRANCA;1;IAC96 7569;B2;7;08/10/2021;1;104
1;1;301;AGUA BRANCA;1;IAC94 2094;B2;8;08/10/2021;1;114
1;1;301;AGUA BRANCA;1;IAC94 2094;B3;9;08/10/2021;1;127
1;1;301;AGUA BRANCA;1;IAC91 1099;B3;10;08/10/2021;1;154
1;1;301;AGUA BRANCA;1;IAC87 3396;B3;11;08/10/2021;1;165
1;1;301;AGUA BRANCA;1;IAC96 7569;B3;12;08/10/2021;1;105
1;1;301;AGUA BRANCA;1;IAC87 3396;B1;1;12/12/2021;2;154
1;1;301;AGUA BRANCA;1;IAC96 7569;B1;2;12/12/2021;2;118
1;1;301;AGUA BRANCA;1;IAC94 2094;B1;3;12/12/2021;2;125
1;1;301;AGUA BRANCA;1;IAC91 1099;B1;4;12/12/2021;2;140
1;1;301;AGUA BRANCA;1;IAC91 1099;B2;5;12/12/2021;2;160
1;1;301;AGUA BRANCA;1;IAC87 3396;B2;6;12/12/2021;2;132
1;1;301;AGUA BRANCA;1;IAC96 7569;B2;7;12/12/2021;2;175
1;1;301;AGUA BRANCA;1;IAC94 2094;B2;8;12/12/2021;2;139
1;1;301;AGUA BRANCA;1;IAC94 2094;B3;9;12/12/2021;2;65
1;1;301;AGUA BRANCA;1;IAC91 1099;B3;10;12/12/2021;2;126
1;1;301;AGUA BRANCA;1;IAC87 3396;B3;11;12/12/2021;2;107
1;1;301;AGUA BRANCA;1;IAC96 7569;B3;12;12/12/2021;2;66
1;1;301;AGUA BRANCA;1;IAC87 3396;B1;1;07/02/2022;3;104
1;1;301;AGUA BRANCA;1;IAC96 7569;B1;2;07/02/2022;3;110
1;1;301;AGUA BRANCA;1;IAC94 2094;B1;3;07/02/2022;3;107
1;1;301;AGUA BRANCA;1;IAC91 1099;B1;4;07/02/2022;3;119
1;1;301;AGUA BRANCA;1;IAC91 1099;B2;5;07/02/2022;3;119
1;1;301;AGUA BRANCA;1;IAC87 3396;B2;6;07/02/2022;3;98
1;1;301;AGUA BRANCA;1;IAC96 7569;B2;7;07/02/2022;3;78
1;1;301;AGUA BRANCA;1;IAC94 2094;B2;8;07/02/2022;3;105
1;1;301;AGUA BRANCA;1;IAC94 2094;B3;9;07/02/2022;3;97
1;1;301;AGUA BRANCA;1;IAC91 1099;B3;10;07/02/2022;3;111
1;1;301;AGUA BRANCA;1;IAC87 3396;B3;11;07/02/2022;3;92
1;1;301;AGUA BRANCA;1;IAC96 7569;B3;12;07/02/2022;3;106
