Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Brix (%);LAI (%);PBU (g);Peso kg/m
1;4;58;IPANEMA;1;Marshall;B1;37;30/10/2020;1;23,71;90,86;165,93;15,67
1;4;58;IPANEMA;1;Scudero Mult;B1;38;30/10/2020;1;23,64;89,27;165,01;13,27
1;4;58;IPANEMA;1;Expert Grow;B1;39;30/10/2020;1;23,27;86,56;147,87;20,49
1;4;58;IPANEMA;1;Disperse Ultra;B1;40;30/10/2020;1;23,24;86,82;150,37;17,74
1;4;58;IPANEMA;1;Sulfato de Zinco;B1;41;30/10/2020;1;22,7;85,21;161,82;21,65
1;4;58;IPANEMA;1;ML - 4;B1;42;30/10/2020;1;23,63;88,64;159,17;20,71
1;4;58;IPANEMA;1;Controle;B1;43;30/10/2020;1;22,89;85,83;154,78;13,84
1;4;58;IPANEMA;1;Scudero Mult;B2;45;30/10/2020;1;23,64;89,29;158,65;14,99
1;4;58;IPANEMA;1;Sulfato de Zinco;B2;46;30/10/2020;1;23,43;88,4;144,89;18,44
1;4;58;IPANEMA;1;Marshall;B2;44;30/10/2020;1;23,53;88,66;158,1;17,41
1;4;58;IPANEMA;1;ML - 4;B2;50;30/10/2020;1;23,69;89,73;158,95;18,31
1;4;58;IPANEMA;1;Expert Grow;B2;48;30/10/2020;1;23,4;88,69;161,6;12,58
1;4;58;IPANEMA;1;Controle;B2;49;30/10/2020;1;23,47;89,08;154,59;14,00
1;4;58;IPANEMA;1;Disperse Ultra;B2;47;30/10/2020;1;22,45;83,45;154,13;21,76
1;4;58;IPANEMA;1;Controle;B3;51;30/10/2020;1;23,63;88,64;159,17;21,11
1;4;58;IPANEMA;1;Disperse Ultra;B3;52;30/10/2020;1;22,89;85,83;154,78;14,33
1;4;58;IPANEMA;1;Sulfato de Zinco;B3;53;30/10/2020;1;23,64;89,29;158,65;16,87
1;4;58;IPANEMA;1;Expert Grow;B3;54;30/10/2020;1;23,43;88,4;144,89;15,08
1;4;58;IPANEMA;1;Scudero Mult;B3;55;30/10/2020;1;23,53;88,66;158,1;41,63
1;4;58;IPANEMA;1;Marshall;B3;56;30/10/2020;1;23,69;89,73;158,95;25,55
1;4;58;IPANEMA;1;ML - 4;B3;57;30/10/2020;1;23,71;89,27;144,89;11,31
