Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Brix (%);LAI (%);PBU (g);Peso kg/m
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;15/10/2021;2;19,46;69,57;135,72;10,6
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;15/10/2021;2;19,92;71,46;135,93;12,03
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;15/10/2021;2;21,29;80,07;149;10,21
1;27;981;AGENOR;10;Expert Grow;B3;370;15/10/2021;2;21,36;80,12;151,8;9,74
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;15/10/2021;2;20,4;75,33;142,36;14,03
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;15/10/2021;2;21,86;82;138,32;11,16
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;15/10/2021;2;20,38;75,97;158,16;11,27
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;15/10/2021;2;20,55;71,49;130,33;13,92
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;15/10/2021;2;20,12;71,92;146,7;10,25
1;27;981;AGENOR;10;Expert Grow;B4;376;15/10/2021;2;20,16;74,21;144,18;14,59
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;15/11/2021;3;22,47;79,92;149,84;11,43
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;15/11/2021;3;22,2;80,58;154,24;11,63
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;15/11/2021;3;19,97;70,11;155,19;9,89
1;27;981;AGENOR;10;Expert Grow;B1;364;15/11/2021;3;20;72,5;132,1;10,96
1;27;981;AGENOR;10;Expert Grow;B2;365;15/11/2021;3;23,88;88,97;144,67;10,8
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;15/11/2021;3;19,88;68,34;142,29;10,35
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;15/11/2021;3;21,96;78,57;147,15;10,83
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;15/11/2021;3;22,15;81,59;168,05;6,73
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;15/11/2021;3;21,59;78,93;141,08;10,6
1;27;981;AGENOR;10;Expert Grow;B3;370;15/11/2021;3;21,04;74,32;136,07;12,03
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;15/11/2021;3;20,09;73,11;147,95;10,21
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;15/11/2021;3;20,12;71,68;139,91;9,74
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;15/11/2021;3;19,41;68,21;137,88;14,03
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;15/11/2021;3;20,36;68,21;125,38;11,16
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;15/11/2021;3;21,57;79,63;142,27;11,27
1;27;981;AGENOR;10;Expert Grow;B4;376;15/11/2021;3;21,93;81,03;141,8;13,92
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;15/12/2021;4;21,37;78,76;153,18;10,25
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;15/12/2021;4;20,92;74,14;150,19;14,59
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;15/12/2021;4;21,2;76,34;145,4;11,43
1;27;981;AGENOR;10;Expert Grow;B1;364;15/12/2021;4;20,05;71,7;132,34;11,63
1;27;981;AGENOR;10;Expert Grow;B2;365;15/12/2021;4;21,47;76,8;141,97;9,89
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;15/12/2021;4;22,4;83,53;122,87;10,96
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;15/12/2021;4;21,26;75,78;152,58;9,74
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;15/12/2021;4;20,47;76,92;143,32;14,03
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;15/12/2021;4;20,48;71,67;136,04;11,16
1;27;981;AGENOR;10;Expert Grow;B3;370;15/12/2021;4;21,69;76,16;162,57;11,27
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;15/12/2021;4;20,78;74,57;150,61;13,92
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;15/12/2021;4;19,92;69,06;136,18;10,25
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;15/12/2021;4;22,06;82,02;142,55;14,59
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;15/12/2021;4;21,7;75,41;137,65;11,43
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;15/12/2021;4;22,29;76,91;150,23;11,63
1;27;981;AGENOR;10;Expert Grow;B4;376;15/12/2021;4;21,44;72,2;141,29;9,89
