Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Brix (%);LAI (%);PBU (g);Peso kg/m
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;15/09/2021;1;23,71;90,86;165,93;10,8
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;15/09/2021;1;23,64;89,27;165,01;10,35
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;15/09/2021;1;23,27;86,56;147,87;10,83
1;27;981;AGENOR;10;Expert Grow;B1;364;15/09/2021;1;23,24;86,82;150,37;6,73
1;27;981;AGENOR;10;Expert Grow;B2;365;15/09/2021;1;22,7;85,21;161,82;10,6
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;15/09/2021;1;23,63;88,64;159,17;12,03
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;15/09/2021;1;22,89;85,83;154,78;10,21
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;15/09/2021;1;23,64;89,29;158,65;9,74
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;15/09/2021;1;23,43;88,4;144,89;14,03
1;27;981;AGENOR;10;Expert Grow;B3;370;15/09/2021;1;23,53;88,66;158,1;11,16
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;15/09/2021;1;23,69;89,73;158,95;11,27
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;15/09/2021;1;23,4;88,69;161,6;13,92
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;15/09/2021;1;23,47;89,08;154,59;10,25
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;15/09/2021;1;22,45;83,45;154,13;14,59
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;15/09/2021;1;18,73;65,64;132,95;11,43
1;27;981;AGENOR;10;Expert Grow;B4;376;15/09/2021;1;18,83;66,05;137,56;11,63
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;15/10/2021;2;18,55;64,57;134,93;9,89
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;15/10/2021;2;18,67;65,84;138,49;10,96
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;15/10/2021;2;18,92;66,92;133,01;10,8
1;27;981;AGENOR;10;Expert Grow;B1;364;15/10/2021;2;18,66;66,01;138,52;10,35
1;27;981;AGENOR;10;Expert Grow;B2;365;15/10/2021;2;19,37;68,68;137,05;10,83
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;15/10/2021;2;18,77;65,31;134,4;6,73
