Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Perfilhos;Falhas
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;18/09/2021;1;157;2,26
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;18/09/2021;1;148;3,21
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;18/09/2021;1;175;4,35
1;27;981;AGENOR;10;Expert Grow;B1;364;18/09/2021;1;177;4,74
1;27;981;AGENOR;10;Expert Grow;B2;365;18/09/2021;1;192;1,48
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;18/09/2021;1;166;4,72
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;18/09/2021;1;150;3,12
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;18/09/2021;1;178;3,64
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;18/09/2021;1;195;3,25
1;27;981;AGENOR;10;Expert Grow;B3;370;18/09/2021;1;140;1,29
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;18/09/2021;1;158;1,28
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;18/09/2021;1;164;2,91
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;18/09/2021;1;147;1,89
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;18/09/2021;1;175;1,3
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;18/09/2021;1;164;2,67
1;27;981;AGENOR;10;Expert Grow;B4;376;18/09/2021;1;175;1,38
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;02/10/2021;2;170;1,35
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;02/10/2021;2;181;3,47
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;02/10/2021;2;133;1,09
1;27;981;AGENOR;10;Expert Grow;B1;364;02/10/2021;2;160;4,86
1;27;981;AGENOR;10;Expert Grow;B2;365;02/10/2021;2;157;1,32
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;02/10/2021;2;135;4,53
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;02/10/2021;2;167;0,52
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;02/10/2021;2;140;2,18
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;02/10/2021;2;179;5,02
1;27;981;AGENOR;10;Expert Grow;B3;370;02/10/2021;2;169;1,25
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;02/10/2021;2;149;1,67
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;02/10/2021;2;178;2,19
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;02/10/2021;2;169;2,55
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;02/10/2021;2;157;2,91
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;02/10/2021;2;157;2,86
1;27;981;AGENOR;10;Expert Grow;B4;376;02/10/2021;2;148;3,81
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;19/10/2021;3;149;3,97
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;19/10/2021;3;150;2,19
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;19/10/2021;3;137;1,41
1;27;981;AGENOR;10;Expert Grow;B1;364;19/10/2021;3;156;4,28
1;27;981;AGENOR;10;Expert Grow;B2;365;19/10/2021;3;143;2,08
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;19/10/2021;3;130;1,23
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;19/10/2021;3;113;4,18
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;19/10/2021;3;169;2,02
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;19/10/2021;3;167;0,65
1;27;981;AGENOR;10;Expert Grow;B3;370;19/10/2021;3;156;1,14
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;19/10/2021;3;189;3,44
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;19/10/2021;3;170;2
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;19/10/2021;3;174;3,13
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;19/10/2021;3;150;3,61
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;19/10/2021;3;147;5,65
1;27;981;AGENOR;10;Expert Grow;B4;376;19/10/2021;3;155;2,48
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;31/10/2021;4;183;1,51
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;31/10/2021;4;197;2,46
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;31/10/2021;4;176;3,6
1;27;981;AGENOR;10;Expert Grow;B1;364;31/10/2021;4;236;3,99
1;27;981;AGENOR;10;Expert Grow;B2;365;31/10/2021;4;151;0,73
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;31/10/2021;4;150;3,97
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;31/10/2021;4;177;2,37
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;31/10/2021;4;182;2,89
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;31/10/2021;4;171;2,5
1;27;981;AGENOR;10;Expert Grow;B3;370;31/10/2021;4;164;0,54
