Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data;Ponto; Brix (%) ; LAI (%) ; PBU (g) 
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;05/07/2021;1;21,36;78,32;164,6
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;05/07/2021;1;18,1;61,54;137,52
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;05/07/2021;1;16,26;55,56;146,56
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;05/07/2021;1;21,1;76,4;146
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;05/07/2021;1;18,59;66,27;123,45
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;05/07/2021;1;16,37;56,1;124,14
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;05/07/2021;1;20,97;78,47;141,42
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;05/07/2021;1;18,27;66,08;134,7
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;05/07/2021;1;16,54;57,96;129,22
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;05/07/2021;1;19,53;76,95;140,25
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;05/07/2021;1;18,71;68,02;127,66
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;05/07/2021;1;19,22;67,88;126,55
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;05/07/2021;1;22,21;81,56;149,2
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;05/07/2021;1;18,85;67,94;133,09
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;05/07/2021;1;19,13;67,49;129,38
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;05/07/2021;1;22,31;83,21;135,71
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;05/07/2021;1;20,8;75,64;121,62
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;05/07/2021;1;17,8;62,09;131,14
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;05/07/2021;1;22,02;81,64;140,27
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;05/07/2021;1;19,9;70,81;124,72
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;05/07/2021;1;16,72;58,81;152,89
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;05/07/2021;1;22,37;84;167,15
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;05/07/2021;1;18,42;65,52;145,7
