Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy); Ponto ;Colmos
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;12/04/2021; 2 ;96
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;12/04/2021; 2 ;105
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;12/04/2021; 2 ;76
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;12/04/2021; 2 ;110
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;12/04/2021; 2 ;148
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;12/04/2021; 2 ;119
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;12/04/2021; 2 ;147
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;12/04/2021; 2 ;179
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;12/04/2021; 2 ;94
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;12/04/2021; 2 ;125
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;12/04/2021; 2 ;101
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;12/04/2021; 2 ;115
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;12/04/2021; 2 ;98
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;12/04/2021; 2 ;128
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;12/04/2021; 2 ;64
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;12/04/2021; 2 ;114
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;12/04/2021; 2 ;96
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;12/04/2021; 2 ;86
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;12/04/2021; 2 ;131
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;12/04/2021; 2 ;95
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;12/04/2021; 2 ;118
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;12/04/2021; 2 ;178
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;12/04/2021; 2 ;93
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;12/04/2021; 2 ;62
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;12/04/2021; 2 ;129
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;13/04/2021; 3 ;127
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;13/04/2021; 3 ;104
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;13/04/2021; 3 ;165
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;13/04/2021; 3 ;125
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;13/04/2021; 3 ;175
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;13/04/2021; 3 ;107
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;13/04/2021; 3 ;107
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;13/04/2021; 3 ;78
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;13/04/2021; 3 ;92
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;13/04/2021; 3 ;65
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;13/04/2021; 3 ;146
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;13/04/2021; 3 ;152
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;13/04/2021; 3 ;187
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;13/04/2021; 3 ;200
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;13/04/2021; 3 ;103
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;13/04/2021; 3 ;82
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;13/04/2021; 3 ;142
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;13/04/2021; 3 ;108
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;13/04/2021; 3 ;65
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;13/04/2021; 3 ;107
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;13/04/2021; 3 ;125
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;13/04/2021; 3 ;107
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;13/04/2021; 3 ;113
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;13/04/2021; 3 ;103
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;13/04/2021; 3 ;97
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;13/04/2021; 3 ;87
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;13/04/2021; 3 ;106
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;13/04/2021; 3 ;168
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;13/04/2021; 3 ;167
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;13/04/2021; 3 ;111
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;13/04/2021; 3 ;150
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;13/04/2021; 3 ;98
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;13/04/2021; 3 ;147
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;13/04/2021; 3 ;93
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;13/04/2021; 3 ;115
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;13/04/2021; 3 ;112
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;13/04/2021; 3 ;112
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;13/04/2021; 3 ;77
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;13/04/2021; 3 ;100
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;13/04/2021; 3 ;89
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;13/04/2021; 3 ;121
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;13/04/2021; 3 ;151
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;13/04/2021; 3 ;87
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;13/04/2021; 3 ;114
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;13/04/2021; 3 ;181
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;13/04/2021; 3 ;113
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;13/04/2021; 3 ;121
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;13/04/2021; 3 ;96
1;23;301;AGUA BRANCA;53;IACCT055579;B1;273;14/04/2021; 4 ;171
1;23;301;AGUA BRANCA;53;RB86 7515;B1;274;14/04/2021; 4 ;114
1;23;301;AGUA BRANCA;53;IACCT062541;B1;275;14/04/2021; 4 ;105
1;23;301;AGUA BRANCA;53;IACCT069905;B1;276;14/04/2021; 4 ;140
1;23;301;AGUA BRANCA;53;IACCT066689;B1;277;14/04/2021; 4 ;139
1;23;301;AGUA BRANCA;53;IACCT059903;B1;278;14/04/2021; 4 ;66
1;23;301;AGUA BRANCA;53;RB92 579;B1;279;14/04/2021; 4 ;119
1;23;301;AGUA BRANCA;53;IACCT062505;B1;280;14/04/2021; 4 ;105
1;23;301;AGUA BRANCA;53;CTC 9003;B1;281;14/04/2021; 4 ;106
1;23;301;AGUA BRANCA;53;IACCT053611;B1;282;14/04/2021; 4 ;61
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;14/04/2021; 4 ;152
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;14/04/2021; 4 ;110
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;14/04/2021; 4 ;149
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;14/04/2021; 4 ;110
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;14/04/2021; 4 ;92
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;14/04/2021; 4 ;84
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;14/04/2021; 4 ;122
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;14/04/2021; 4 ;97
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;14/04/2021; 4 ;75
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;14/04/2021; 4 ;102
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;14/04/2021; 4 ;131
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;14/04/2021; 4 ;93
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;14/04/2021; 4 ;128
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;14/04/2021; 4 ;92
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;14/04/2021; 4 ;118
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;14/04/2021; 4 ;96
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;14/04/2021; 4 ;119
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;14/04/2021; 4 ;165
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;14/04/2021; 4 ;136
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;14/04/2021; 4 ;84
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;14/04/2021; 4 ;173
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;14/04/2021; 4 ;106
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;14/04/2021; 4 ;138
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;14/04/2021; 4 ;84
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;14/04/2021; 4 ;92
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;14/04/2021; 4 ;112
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;14/04/2021; 4 ;123
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;14/04/2021; 4 ;78
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;14/04/2021; 4 ;111
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;14/04/2021; 4 ;98
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;14/04/2021; 4 ;115
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;14/04/2021; 4 ;119
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;14/04/2021; 4 ;99
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;14/04/2021; 4 ;111
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;14/04/2021; 4 ;78
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;14/04/2021; 4 ;94
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;14/04/2021; 4 ;85
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;14/04/2021; 4 ;88
