Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Peso;
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;03/03/2021;4;104,2;88,4
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;03/03/2021;4;154,2;138,4
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;03/03/2021;4;134,2;118,4
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;03/03/2021;4;134,2;118,4
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;03/03/2021;4;64,2;48,4
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;03/03/2021;4;64,2;48,4
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;03/03/2021;4;144,2;128,4
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;03/03/2021;4;144,2;128,4
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;03/03/2021;4;44,2;28,4
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;03/03/2021;4;104,2;88,4
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;03/03/2021;4;94,2;78,4
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;03/03/2021;4;154,2;138,4
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;03/03/2021;4;214,2;198,4
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;03/03/2021;4;104,2;88,4
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;03/03/2021;4;74,2;58,4
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;03/03/2021;4;144,2;128,4
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;03/03/2021;4;164,2;148,4
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;03/03/2021;4;154,2;138,4
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;03/03/2021;4;164,2;148,4
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;03/03/2021;4;114,2;98,4
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;03/03/2021;4;134,2;118,4
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;03/03/2021;4;144,2;128,4
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;03/03/2021;4;164,2;148,4
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;03/03/2021;4;74,2;58,4
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;03/03/2021;4;144,2;128,4
