Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Perfilhos;Falhas
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;26/10/2020;1;150;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;26/10/2020;1;178;0
1;2;301;AGUA BRANCA;1;Marshall;B1;15;26/10/2020;1;195;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;26/10/2020;1;140;0
1;2;301;AGUA BRANCA;1;Marshall;B2;17;26/10/2020;1;158;0
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;26/10/2020;1;164;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;26/10/2020;1;147;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;26/10/2020;1;175;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;26/10/2020;1;164;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;26/10/2020;1;175;0
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;26/10/2020;1;170;0
1;2;301;AGUA BRANCA;1;Marshall;B3;24;26/10/2020;1;181;0
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;22/12/2020;2;133;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;22/12/2020;2;160;0
1;2;301;AGUA BRANCA;1;Marshall;B1;15;22/12/2020;2;157;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;22/12/2020;2;135;0
1;2;301;AGUA BRANCA;1;Marshall;B2;17;22/12/2020;2;167;0
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;22/12/2020;2;140;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;22/12/2020;2;179;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;22/12/2020;2;169;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;22/12/2020;2;149;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;22/12/2020;2;178;0
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;22/12/2020;2;169;0
1;2;301;AGUA BRANCA;1;Marshall;B3;24;22/12/2020;2;157;0
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;24/05/2021;3;157;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;24/05/2021;3;148;0
1;2;301;AGUA BRANCA;1;Marshall;B1;15;24/05/2021;3;149;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;24/05/2021;3;150;0
1;2;301;AGUA BRANCA;1;Marshall;B2;17;24/05/2021;3;137;0
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;24/05/2021;3;156;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;24/05/2021;3;143;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;24/05/2021;3;130;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;24/05/2021;3;113;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;24/05/2021;3;169;0
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;24/05/2021;3;167;0
1;2;301;AGUA BRANCA;1;Marshall;B3;24;24/05/2021;3;156;0
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;23/07/2021;3;189;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;23/07/2021;4;170;0
1;2;301;AGUA BRANCA;1;Marshall;B1;15;23/07/2021;4;174;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;23/07/2021;4;150;0
1;2;301;AGUA BRANCA;1;Marshall;B2;17;23/07/2021;4;147;0
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;23/07/2021;4;155;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;23/07/2021;4;183;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;23/07/2021;4;197;0
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;23/07/2021;4;176;0
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;23/07/2021;4;236;0
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;23/07/2021;4;151;0
1;2;301;AGUA BRANCA;1;Marshall;B3;24;23/07/2021;4;150;0
1;1;301;AGUA BRANCA;1;IAC87 3396;B1;1;04/04/2022;5;177;0
1;1;301;AGUA BRANCA;1;IAC96 7569;B1;2;04/04/2022;5;182;0
1;1;301;AGUA BRANCA;1;IAC94 2094;B1;3;04/04/2022;5;171;0
1;1;301;AGUA BRANCA;1;IAC91 1099;B1;4;04/04/2022;5;164;0
1;1;301;AGUA BRANCA;1;IAC91 1099;B2;5;04/04/2022;5;159;0
1;1;301;AGUA BRANCA;1;IAC87 3396;B2;6;04/04/2022;5;159;0
1;1;301;AGUA BRANCA;1;IAC96 7569;B2;7;04/04/2022;5;256;0
1;1;301;AGUA BRANCA;1;IAC94 2094;B2;8;04/04/2022;5;173;0
1;1;301;AGUA BRANCA;1;IAC94 2094;B3;9;04/04/2022;5;174;0
1;1;301;AGUA BRANCA;1;IAC91 1099;B3;10;04/04/2022;5;147;0
1;1;301;AGUA BRANCA;1;IAC87 3396;B3;11;04/04/2022;5;156;0
1;1;301;AGUA BRANCA;1;IAC96 7569;B3;12;04/04/2022;5;161;0
