Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Brix (%);LAI (%);PBU (g);Peso kg/m
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;26/10/2020;1;23,71;90,86;165,93;17,08333333
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;26/10/2020;1;23,64;89,27;165,01;14,79166667
1;2;301;AGUA BRANCA;1;Marshall;B1;15;26/10/2020;1;23,27;86,56;147,87;16,45833333
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;26/10/2020;1;23,24;86,82;150,37;17,01388889
1;2;301;AGUA BRANCA;1;Marshall;B2;17;26/10/2020;1;22,7;85,21;161,82;16,31944444
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;26/10/2020;1;23,63;88,64;159,17;18,47222222
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;26/10/2020;1;22,89;85,83;154,78;17,84722222
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;26/10/2020;1;23,64;89,29;158,65;17,29166667
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;26/10/2020;1;23,43;88,4;144,89;22,5
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;26/10/2020;1;23,53;88,66;158,1;19,23611111
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;26/10/2020;1;23,69;89,73;158,95;13,47222222
1;2;301;AGUA BRANCA;1;Marshall;B3;24;26/10/2020;1;23,4;88,69;161,6;17,43055556
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;22/12/2020;2;23,47;89,08;154,59;19,16666667
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;22/12/2020;2;22,45;83,45;154,13;17,78590278
1;2;301;AGUA BRANCA;1;Marshall;B1;15;22/12/2020;2;20,15;74,59;124,38;14,58333333
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;22/12/2020;2;16,83;56,88;121,29;13,871875
1;2;301;AGUA BRANCA;1;Marshall;B2;17;22/12/2020;2;18,97;68,81;141,91;17,84722222
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;22/12/2020;2;19,54;73,85;128,68;15,34722222
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;22/12/2020;2;18,55;66,54;108,38;13,47222222
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;22/12/2020;2;16,86;56,75;129,34;13,871875
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;22/12/2020;2;20,22;75,27;135,41;14,58333333
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;22/12/2020;2;19,50;70,77;120,24;14,79166667
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;22/12/2020;2;20,54;77,70;108,93;15,34722222
1;2;301;AGUA BRANCA;1;Marshall;B3;24;22/12/2020;2;19,78;75,26;137,97;16,31944444
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;24/05/2021;3;21,03;80,86;134,74;16,45833333
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;24/05/2021;3;19,61;74,02;130,64;17,01388889
1;2;301;AGUA BRANCA;1;Marshall;B1;15;24/05/2021;3;20,44;76,77;126,43;17,08333333
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;24/05/2021;3;17,10;58,91;133,93;17,29166667
1;2;301;AGUA BRANCA;1;Marshall;B2;17;24/05/2021;3;20,38;76,33;133,00;17,43055556
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;24/05/2021;3;18,16;65,51;133,77;17,78590278
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;24/05/2021;3;18,95;67,01;125,24;17,84722222
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;24/05/2021;3;19,68;70,59;132,52;17,84722222
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;24/05/2021;3;19,32;68,76;117,47;18,47222222
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;24/05/2021;3;19,75;72,78;133,42;19,16666667
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;24/05/2021;3;17,08;58,84;134,47;19,23611111
1;2;301;AGUA BRANCA;1;Marshall;B3;24;24/05/2021;3;19,98;67,94;133,44;22,5
1;2;301;AGUA BRANCA;1;Priori Xtra;B1;13;23/07/2021;3;20,83;75,97;138,07;24,1875
1;2;301;AGUA BRANCA;1;Kymon Plus;B1;14;23/07/2021;4;18,98;68,40;103,45;20,67881944
1;2;301;AGUA BRANCA;1;Marshall;B1;15;23/07/2021;4;18,37;61,17;130,32;20,60416667
1;2;301;AGUA BRANCA;1;Disperse Ultra;B1;16;23/07/2021;4;18,91;70,01;137,77;19,85763889
1;2;301;AGUA BRANCA;1;Marshall;B2;17;23/07/2021;4;18,86;67,05;124,91;19,18576389
1;2;301;AGUA BRANCA;1;Priori Xtra;B2;18;23/07/2021;4;19,55;70,57;126,10;19,18576389
1;2;301;AGUA BRANCA;1;Disperse Ultra;B2;20;23/07/2021;4;18,60;63,32;128,01;19,11984549
1;2;301;AGUA BRANCA;1;Kymon Plus;B2;19;23/07/2021;4;17,83;60,06;121,19;18,73784722
1;2;301;AGUA BRANCA;1;Kymon Plus;B3;23;23/07/2021;4;19,65;74,50;144,11;18,58854167
1;2;301;AGUA BRANCA;1;Disperse Ultra;B3;21;23/07/2021;4;20,56;74,34;118,89;18,36458333
1;2;301;AGUA BRANCA;1;Priori Xtra;B3;22;23/07/2021;4;19,69;70,18;124,89;18,28993056
1;2;301;AGUA BRANCA;1;Marshall;B3;24;23/07/2021;4;19,52;71,05;134,21;17,69270833
