Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Altura
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;01/07/2020;1;3,44
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;01/07/2020;1;2,46
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;01/07/2020;1;2,52
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;01/07/2020;1;2,86
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;01/07/2020;1;3,02
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;01/07/2020;1;2,74
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;01/07/2020;1;2,58
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;01/07/2020;1;2,84
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;01/07/2020;1;2,49
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;01/07/2020;1;1,78
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;01/07/2020;1;3,74
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;01/07/2020;1;3,02
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;01/07/2020;2;2,39
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;01/07/2020;2;2,52
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;01/07/2020;2;2,84
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;01/07/2020;2;2,50
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;01/07/2020;2;2,25
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;01/07/2020;2;3,17
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;01/07/2020;2;3,10
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;01/07/2020;2;1,98
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;01/07/2020;2;2,63
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;01/07/2020;2;3,05
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;01/07/2020;2;2,63
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;01/07/2020;2;3,10
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;01/07/2020;3;2,78
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;01/07/2020;3;2,18
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;01/07/2020;3;2,86
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;01/07/2020;3;2,16
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;01/07/2020;3;2,92
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;01/07/2020;3;2,13
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;01/07/2020;3;2,62
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;01/07/2020;3;2,45
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;01/07/2020;3;2,81
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;01/07/2020;3;2,79
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;01/07/2020;3;1,86
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;01/07/2020;3;2,82
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;01/07/2020;4;2,88
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;01/07/2020;4;2,49
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;01/07/2020;4;2,83
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;01/07/2020;4;2,00
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;01/07/2020;4;2,31
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;01/07/2020;4;1,82
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;01/07/2020;4;2,70
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;01/07/2020;4;3,02
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;01/07/2020;4;2,60
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;01/07/2020;4;2,80
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;01/07/2020;4;3,10
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;01/07/2020;4;2,65
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;01/07/2020;5;3,23
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;01/07/2020;5;3,07
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;01/07/2020;5;2,62
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;01/07/2020;5;2,74
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;01/07/2020;5;2,24
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;01/07/2020;5;2,62
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;01/07/2020;5;2,13
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;01/07/2020;5;2,62
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;01/07/2020;5;2,45
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;01/07/2020;5;2,81
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;01/07/2020;5;2,79
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;01/07/2020;5;1,86
